block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
10,cube0,1089.268921,1960684,50.597221,0.045176,1068.707275,0.954203,35.520000,0.031714,108.692223,0.097047,0.226111,0.000202,434.425598,140.717224,0.125640,52.049202,0.000323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.672729,1959611,498.656097,0.445229,308.709442,0.275633,282.449432,0.252187,50.997791,99.837776,0.089141,60.007168,0.000000,NA,NA,
11,cube0,1088.816162,1959869,51.693333,0.046155,1068.959961,0.954429,36.388889,0.032490,94.771111,0.084617,0.200556,0.000179,489.781738,126.956108,0.113354,57.690952,0.000347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.164429,1958696,505.052765,0.450940,317.123901,0.283146,285.943329,0.255307,50.374657,100.617226,0.089837,59.542313,0.000000,NA,NA,
12,cube0,1079.395020,1942911,51.540554,0.046018,1057.882202,0.944538,36.322224,0.032431,92.337219,0.082444,0.200000,0.000179,491.142273,124.703331,0.111342,58.733147,0.000359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.814453,1941866,502.972229,0.449082,309.303345,0.276164,284.288879,0.253829,50.667816,96.290001,0.085973,62.218109,0.000000,NA,NA,
13,cube0,1089.403931,1960927,51.640556,0.046108,1069.071655,0.954528,36.316113,0.032425,96.171112,0.085867,0.338333,0.000302,290.330414,129.083328,0.115253,56.740238,0.000356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.827271,1959889,505.225555,0.451094,314.598877,0.280892,284.154999,0.253710,50.691685,97.231667,0.086814,61.615547,0.000000,NA,NA,
14,cube0,1088.050049,1958490,52.166111,0.046577,1066.392212,0.952136,36.513889,0.032602,98.204445,0.087683,0.502222,0.000448,195.587616,131.287781,0.117221,55.787514,0.000335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.440552,1957393,509.778320,0.455159,315.898895,0.282053,277.143890,0.247450,51.974072,93.033333,0.083065,64.396080,0.000000,NA,NA,
15,cube0,1111.022217,1999840,53.679443,0.047928,1089.988892,0.973204,37.651669,0.033618,99.848892,0.089151,0.208889,0.000187,470.242615,134.669998,0.120241,54.386417,0.000351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110.426147,1998767,521.957214,0.466033,321.512207,0.287064,290.468323,0.259347,49.589905,95.900558,0.085625,62.470776,0.000000,NA,NA,
16,cube0,17.200001,30960,0.000000,0.000000,16.301111,0.014555,0.004444,0.000004,0.039444,0.000035,0.205556,0.000184,199.498352,0.000000,0.000000,NA,0.045070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.990556,28783,0.027222,0.000024,15.716666,0.014033,0.001111,0.000001,0.000000,0.001111,0.000001,0.000000,0.000000,NA,NA,
17,cube0,18.192778,32747,0.000000,0.000000,17.243889,0.015396,0.004444,0.000004,0.040000,0.000036,0.194444,0.000174,210.898270,0.000000,0.000000,NA,0.041018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.877778,23180,0.021111,0.000019,9.693889,0.008655,0.000556,0.000000,0.000000,0.000556,0.000000,0.000000,0.000000,NA,NA,
18,cube0,19.796112,35633,0.000000,0.000000,18.700556,0.016697,0.005000,0.000004,0.042222,0.000038,0.212222,0.000189,193.231384,0.000556,0.000000,0.000000,0.042433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.120556,25417,0.022778,0.000020,11.728333,0.010472,0.001111,0.000001,0.000000,0.001111,0.000001,0.000000,0.000000,NA,NA,
19,cube0,21.251667,38253,0.000000,0.000000,19.663889,0.017557,0.004444,0.000004,0.041667,0.000037,0.570556,0.000509,71.873802,0.000000,0.000000,NA,0.039604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.887222,30397,0.023333,0.000021,16.250555,0.014509,0.001111,0.000001,0.000000,0.001111,0.000001,0.000000,0.000000,NA,NA,
20,cube0,20.802778,37445,0.000000,0.000000,20.439444,0.018250,0.005000,0.000004,0.042222,0.000038,0.257778,0.000230,159.082733,0.000556,0.000000,0.000000,0.040960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.105556,28990,0.025556,0.000023,14.564445,0.013004,0.001111,0.000001,0.000000,0.001111,0.000001,0.000000,0.000000,NA,NA,
21,cube0,18.342777,33017,0.000000,0.000000,17.048889,0.015222,0.004444,0.000004,0.041667,0.000037,0.206667,0.000185,198.425781,0.000000,0.000000,NA,0.036775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.250000,27450,0.025556,0.000023,13.723889,0.012253,0.001111,0.000001,0.000000,0.001111,0.000001,0.000000,0.000000,NA,NA,
22,cube0,19.507223,35113,0.000000,0.000000,17.961111,0.016037,0.004444,0.000004,0.040556,0.000036,0.191667,0.000171,213.954758,0.000000,0.000000,NA,0.037868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.386666,24096,0.020556,0.000018,12.861667,0.011484,0.000556,0.000000,0.000000,0.000556,0.000000,0.000000,0.000000,NA,NA,
23,cube0,20.653889,37177,0.000000,0.000000,18.756666,0.016747,0.004444,0.000004,0.041667,0.000037,0.400000,0.000357,102.519989,0.000000,0.000000,NA,0.043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.423333,27762,0.020556,0.000018,15.371111,0.013724,0.000556,0.000000,0.000000,0.000556,0.000000,0.000000,0.000000,NA,NA,
