block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.939941,1969092,5.346586,12.854956,12.869637,5.352118,1529,0.248604,541,0.086813,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
9,cube0,1093.452759,1968215,7.653269,5.460633,6.405243,6.568441,566,0.031903,245,0.099201,10,0.000186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7525.875000,7717.625000,6416.000000,2.459744,102.500000,0.046157,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.962280,1967332,5.346586,12.854956,12.869637,5.352118,1529,0.247388,541,0.087230,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
10,cube0,1089.268921,1960684,7.653269,5.460633,6.498438,6.568547,566,0.031714,245,0.097047,10,0.000202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7635.375000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.672729,1959611,5.346586,12.854956,12.869637,5.352118,1529,0.252187,541,0.089141,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
11,cube0,1088.816162,1959869,7.653269,5.460633,6.426201,6.568547,566,0.032490,245,0.084617,10,0.000179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7550.500000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.164429,1958696,5.346586,12.854956,12.869637,5.352118,1529,0.255307,541,0.089837,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
12,cube0,1079.395020,1942911,7.653269,5.460633,6.524290,6.568547,566,0.032431,245,0.082444,10,0.000179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7665.750000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.814453,1941866,5.346586,12.854956,12.869637,5.352118,1529,0.253829,541,0.085973,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
13,cube0,1089.403931,1960927,7.653269,5.460633,6.451734,6.568547,566,0.032425,245,0.085867,10,0.000302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580.500000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.827271,1959889,5.346586,12.854956,12.869637,5.352118,1529,0.253710,541,0.086814,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
14,cube0,1088.050049,1958490,7.653269,5.460633,6.512375,6.568547,566,0.032602,245,0.087683,10,0.000448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7651.750000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.440552,1957393,5.346586,12.854956,12.869637,5.352118,1529,0.247450,541,0.083065,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
15,cube0,1111.022217,1999840,7.653269,5.460633,6.481523,6.568547,566,0.033618,245,0.089151,10,0.000187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7615.500000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110.426147,1998767,5.346586,12.854956,12.869637,5.352118,1529,0.259347,541,0.085625,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
16,cube0,17.200001,30960,0.027448,0.013618,0.009575,0.019362,6,0.000004,5,0.000035,10,0.000184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.250000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.990556,28783,0.000000,0.000000,0.006170,0.005532,1,0.000001,1,0.000001,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
17,cube0,18.192778,32747,0.027448,0.013618,0.012128,0.019362,6,0.000004,5,0.000036,10,0.000174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.250000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.877778,23180,0.000000,0.000000,0.006170,0.005532,1,0.000000,1,0.000000,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
18,cube0,19.796112,35633,0.027448,0.013618,0.010213,0.019362,6,0.000004,5,0.000038,10,0.000189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.000000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.120556,25417,0.000000,0.000000,0.006170,0.005532,1,0.000001,1,0.000001,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
19,cube0,21.251667,38253,0.027448,0.013618,0.009256,0.019362,6,0.000004,5,0.000037,10,0.000509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.875000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.887222,30397,0.000000,0.000000,0.006170,0.005532,1,0.000001,1,0.000001,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
20,cube0,20.802778,37445,0.027448,0.013618,0.008724,0.019362,6,0.000004,5,0.000038,10,0.000230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.250000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.105556,28990,0.000000,0.000000,0.006170,0.005532,1,0.000001,1,0.000001,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
21,cube0,18.342777,33017,0.027448,0.013618,0.009362,0.019362,6,0.000004,5,0.000037,10,0.000185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.000000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.250000,27450,0.000000,0.000000,0.006170,0.005532,1,0.000001,1,0.000001,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
22,cube0,19.507223,35113,0.027448,0.013618,0.009788,0.019362,6,0.000004,5,0.000036,10,0.000171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.500000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.386666,24096,0.000000,0.000000,0.006170,0.005532,1,0.000000,1,0.000000,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
23,cube0,20.653889,37177,0.027448,0.013618,0.009575,0.019362,6,0.000004,5,0.000037,10,0.000357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.250000,22.750000,16.000000,0.006134,43.000000,0.019364,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.423333,27762,0.000000,0.000000,0.006170,0.005532,1,0.000000,1,0.000000,7.250000,6.500000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
