name,duration_us,precision,status,config
tile1024,91.30365,PASS,pass,{'tileSize': 1024}
tile3072,59.942398,PASS,pass,{'tileSize': 3072}
tile5120,56.502258,PASS,pass,{'tileSize': 5120}
tile7168,54.362175,PASS,pass,{'tileSize': 7168}
tile9216,53.742149,PASS,pass,{'tileSize': 9216}
step1_2,56.822273,PASS,pass,"{'stepM': 1, 'stepN': 2}"
step1_3,55.042202,PASS,pass,"{'stepM': 1, 'stepN': 3}"
step1_4,54.282173,PASS,pass,"{'stepM': 1, 'stepN': 4}"
step2_1,52.802113,PASS,pass,"{'stepM': 2, 'stepN': 1}"
step2_2,54.122166,PASS,pass,"{'stepM': 2, 'stepN': 2}"
step2_3,56.702267,PASS,pass,"{'stepM': 2, 'stepN': 3}"
step3_1,57.5023,PASS,pass,"{'stepM': 3, 'stepN': 1}"
step3_3,58.482338,PASS,pass,"{'stepM': 3, 'stepN': 3}"
bM64_bN128,83.883354,PASS,pass,"{'baseM': 64, 'baseN': 128}"
bM128_bN64,82.223289,PASS,pass,"{'baseM': 128, 'baseN': 64}"
bM192_bN128,60.802433,PASS,pass,"{'baseM': 192, 'baseN': 128}"
bM256_bN160,,FAIL,"[ 50%] Building ASC object CMakeFiles/demo.dir/matmul_leakyrelu.asc.o
[100%] Linking ASC executable demo
[100%] Built target demo
gen tiling failed
2026-04-09 23:25:05 [INFO]  Op profiling analysis start.
2026-04-09 23:25:05 [INFO]  Running device task: DeviceProf
[INFO] <ProfData> Start profiling on device 0, kernel: _Z23matmul_leakyrelu_customPhS_S_S_S_N7AscendC6tiling11TCubeTilingE_mix_aic
[INFO] <WarmUp> Warm Up enabled. times:10
best_combo6,53.522141,PASS,pass,"{'stepN': 2, 'tileSize': 12288}"
best_combo7,53.022121,PASS,pass,"{'stepM': 2, 'stepN': 2, 'tileSize': 10240}"
best_combo8,52.902115,PASS,pass,"{'isTransB': True, 'tileSize': 10240}"
best_combo9,58.142326,PASS,pass,"{'isTransB': True, 'tileSize': 12288}"
best_combo10,57.082283,PASS,pass,"{'stepM': 3, 'tileSize': 10240}"
buf_524288_auto_auto,54.562183,PASS,pass,"{'bufferSpace': '524288, -1, -1'}"
buf_786432_auto_auto,53.882156,PASS,pass,"{'bufferSpace': '786432, -1, -1'}"
buf_1048576_auto_auto,53.382133,PASS,pass,"{'bufferSpace': '1048576, -1, -1'}"
buf_auto_65536_auto,,FAIL,"[ 50%] Building ASC object CMakeFiles/demo.dir/matmul_leakyrelu.asc.o
[100%] Linking ASC executable demo
[100%] Built target demo
gen tiling failed
2026-04-09 23:34:43 [INFO]  Op profiling analysis start.
2026-04-09 23:34:43 [INFO]  Running device task: DeviceProf
[INFO] <ProfData> Start profiling on device 0, kernel: _Z23matmul_leakyrelu_customPhS_S_S_S_N7AscendC6tiling11TCubeTilingE_mix_aic
[INFO] <WarmUp> Warm Up enabled. times:10
data index: 000000, expected: 6356.000000000, actual: 6408.000000000, rdiff: 0.008181
data index: 000001, expected: 6348.000000000, actual: 6472.000000000, rdiff: 0.019534
data index: 000002, expected: 6227.000000000, actual: 6222.000000000, rdiff: 0.000803
data index: 000003, expected: 5974.000000000, actual: 6029.000000000, rdiff: 0.009207
data index: 000004, expected: 6595.000000000, actual: 6144.000000000, rdiff: 0.068385
data index: 000005, expected: 6160.000000000, actual: 6364.000000000, rdiff: 0.033117
data index: 000006, expected: 6504.000000000, actual: 5910.000000000, rdiff: 0.091328
data index: 000007, expected: 6631.000000000, actual: 6084.000000000, rdiff: 0.082491
data index: 000008, expected: 6151.000000000, actual: 6224.000000000, rdiff: 0.011868
data index: 000009, expected: 6122.000000000, actual: 6236.000000000, rdiff: 0.018621
data index: 000010, expected: 6316.000000000, actual: 5983.000000000, rdiff: 0.052723
data index: 000011, expected: 6088.000000000, actual: 6439.000000000, rdiff: 0.057654
data index: 000012, expected: 6277.000000000, actual: 6133.000000000, rdiff: 0.022941
data index: 000013, expected: 6443.000000000, actual: 6015.000000000, rdiff: 0.066429
data index: 000014, expected: 6368.000000000, actual: 6285.000000000, rdiff: 0.013034
data index: 000015, expected: 6405.000000000, actual: 6210.000000000, rdiff: 0.030445
data index: 000016, expected: 6109.000000000, actual: 6031.000000000, rdiff: 0.012768
data index: 000017, expected: 6765.000000000, actual: 6008.000000000, rdiff: 0.111899
data index: 000018, expected: 6182.000000000, actual: 6057.000000000, rdiff: 0.020220
data index: 000019, expected: 6389.000000000, actual: 6115.000000000, rdiff: 0.042886
data index: 000020, expected: 6021.000000000, actual: 6366.000000000, rdiff: 0.057299
data index: 000021, expected: 6272.000000000, actual: 6130.000000000, rdiff: 0.022640
data index: 000022, expected: 6258.000000000, actual: 6228.000000000, rdiff: 0.004794
data index: 000023, expected: 6320.000000000, actual: 6019.000000000, rdiff: 0.047627
data index: 000024, expected: 6424.000000000, actual: 6418.000000000, rdiff: 0.000934
data index: 000025, expected: 5702.000000000, actual: 6314.000000000, rdiff: 0.107331
data index: 000026, expected: 6642.000000000, actual: 6521.000000000, rdiff: 0.018217
data index: 000027, expected: 6352.000000000, actual: 6105.000000000, rdiff: 0.038885
data index: 000028, expected: 6159.000000000, actual: 6517.000000000, rdiff: 0.058126
data index: 000029, expected: 6044.000000000, actual: 6126.000000000, rdiff: 0.013567
data index: 000030, expected: 5809.000000000, actual: 6400.000000000, rdiff: 0.101739
data index: 000031, expected: 6747.000000000, actual: 6134.000000000, rdiff: 0.090855
data index: 000032, expected: 6697.000000000, actual: 6512.000000000, rdiff: 0.027624
data index: 000033, expected: 6416.000000000, actual: 6107.000000000, rdiff: 0.048161
data index: 000034, expected: 6018.000000000, actual: 6257.000000000, rdiff: 0.039714
data index: 000035, expected: 5956.000000000, actual: 5963.000000000, rdiff: 0.001175
data index: 000036, expected: 6178.000000000, actual: 5748.000000000, rdiff: 0.069602
data index: 000037, expected: 6200.000000000, actual: 6169.000000000, rdiff: 0.005000
data index: 000038, expected: 5550.000000000, actual: 6144.000000000, rdiff: 0.107027
data index: 000039, expected: 6178.000000000, actual: 5856.000000000, rdiff: 0.052120
data index: 000040, expected: 6153.000000000, actual: 6166.000000000, rdiff: 0.002113
data index: 000041, expected: 6098.000000000, actual: 6567.000000000, rdiff: 0.076910
data index: 000042, expected: 6397.000000000, actual: 6270.000000000, rdiff: 0.019853
data index: 000043, expected: 5914.000000000, actual: 6337.000000000, rdiff: 0.071525
data index: 000044, expected: 6301.000000000, actual: 6023.000000000, rdiff: 0.044120
data index: 000045, expected: 6093.000000000, actual: 5932.000000000, rdiff: 0.026424
data index: 000046, expected: 6195.000000000, actual: 6359.000000000, rdiff: 0.026473
data index: 000047, expected: 5947.000000000, actual: 6545.000000000, rdiff: 0.100555
data index: 000048, expected: 6727.000000000, actual: 6483.000000000, rdiff: 0.036272
data index: 000049, expected: 6150.000000000, actual: 6276.000000000, rdiff: 0.020488
data index: 000050, expected: 6281.000000000, actual: 6269.000000000, rdiff: 0.001911
data index: 000051, expected: 6041.000000000, actual: 6160.000000000, rdiff: 0.019699
data index: 000052, expected: 6413.000000000, actual: 6375.000000000, rdiff: 0.005925
data index: 000053, expected: 6398.000000000, actual: 6154.000000000, rdiff: 0.038137
data index: 000054, expected: 6143.000000000, actual: 6483.000000000, rdiff: 0.055348
data index: 000055, expected: 6040.000000000, actual: 6458.000000000, rdiff: 0.069205
data index: 000056, expected: 6526.000000000, actual: 6244.000000000, rdiff: 0.043212
data index: 000057, expected: 6143.000000000, actual: 5945.000000000, rdiff: 0.032232
data index: 000058, expected: 6599.000000000, actual: 6079.000000000, rdiff: 0.078800
data index: 000059, expected: 6195.000000000, actual: 5681.000000000, rdiff: 0.082970
data index: 000060, expected: 5987.000000000, actual: 6064.000000000, rdiff: 0.012861
data index: 000061, expected: 5840.000000000, actual: 6566.000000000, rdiff: 0.124315
data index: 000062, expected: 6285.000000000, actual: 6629.000000000, rdiff: 0.054733
data index: 000063, expected: 5908.000000000, actual: 5984.000000000, rdiff: 0.012864
data index: 000064, expected: 6396.000000000, actual: 6079.000000000, rdiff: 0.049562
data index: 000065, expected: 6290.000000000, actual: 6154.000000000, rdiff: 0.021622
data index: 000066, expected: 6316.000000000, actual: 6420.000000000, rdiff: 0.016466
data index: 000067, expected: 6159.000000000, actual: 6387.000000000, rdiff: 0.037019
data index: 000068, expected: 6324.000000000, actual: 6012.000000000, rdiff: 0.049336
data index: 000069, expected: 6440.000000000, actual: 6196.000000000, rdiff: 0.037888
data index: 000070, expected: 6256.000000000, actual: 6513.000000000, rdiff: 0.041081
data index: 000071, expected: 6486.000000000, actual: 5939.000000000, rdiff: 0.084335
data index: 000072, expected: 6324.000000000, actual: 5958.000000000, rdiff: 0.057875
data index: 000073, expected: 6149.000000000, actual: 6617.000000000, rdiff: 0.076110
data index: 000074, expected: 6108.000000000, actual: 6470.000000000, rdiff: 0.059267
data index: 000075, expected: 6402.000000000, actual: 6179.000000000, rdiff: 0.034833
data index: 000076, expected: 6146.000000000, actual: 6295.000000000, rdiff: 0.024243
data index: 000077, expected: 6246.000000000, actual: 6524.000000000, rdiff: 0.044508
data index: 000078, expected: 6086.000000000, actual: 6535.000000000, rdiff: 0.073776
data index: 000079, expected: 6351.000000000, actual: 6319.000000000, rdiff: 0.005039
data index: 000080, expected: 5854.000000000, actual: 6022.000000000, rdiff: 0.028698
data index: 000081, expected: 6419.000000000, actual: 6474.000000000, rdiff: 0.008568
data index: 000082, expected: 6217.000000000, actual: 6323.000000000, rdiff: 0.017050
data index: 000083, expected: 6462.000000000, actual: 6280.000000000, rdiff: 0.028165
data index: 000084, expected: 5920.000000000, actual: 6509.000000000, rdiff: 0.099493
data index: 000085, expected: 6445.000000000, actual: 5897.000000000, rdiff: 0.085027
data index: 000086, expected: 6254.000000000, actual: 6136.000000000, rdiff: 0.018868
data index: 000087, expected: 6575.000000000, actual: 5866.000000000, rdiff: 0.107833
data index: 000088, expected: 6358.000000000, actual: 6228.000000000, rdiff: 0.020447
data index: 000089, expected: 6236.000000000, actual: 6319.000000000, rdiff: 0.013310
data index: 000090, expected: 6334.000000000, actual: 6306.000000000, rdiff: 0.004421
data index: 000091, expected: 6355.000000000, actual: 6610.000000000, rdiff: 0.040126
data index: 000092, expected: 6320.000000000, actual: 6129.000000000, rdiff: 0.030222
data index: 000093, expected: 6566.000000000, actual: 6278.000000000, rdiff: 0.043862
data index: 000094, expected: 6136.000000000, actual: 6337.000000000, rdiff: 0.032757
data index: 000095, expected: 6306.000000000, actual: 6159.000000000, rdiff: 0.023311
data index: 000096, expected: 6056.000000000, actual: 6518.000000000, rdiff: 0.076288
data index: 000097, expected: 5777.000000000, actual: 6286.000000000, rdiff: 0.088108
data index: 000098, expected: 6315.000000000, actual: 6414.000000000, rdiff: 0.015677
data index: 000099, expected: 6022.000000000, actual: 6368.000000000, rdiff: 0.057456
data index: 000100, expected: 5835.000000000, actual: 6249.000000000, rdiff: 0.070951
golden_data :  [6356. 6348. 6227. ... 5894. 6229. 6789.]
output :  [6408. 6472. 6222. ... 6350. 6054. 6489.]
error ratio: 0.9992, tolerance: 0.0001
[ERROR] result error
","{'bufferSpace': '-1, 65536, -1'}"
buf_auto_auto_65536,53.742149,PASS,pass,"{'bufferSpace': '-1, -1, 65536'}"
